CountryName,U5MR.1990,U5MR.1991,U5MR.1992,U5MR.1993,U5MR.1994,U5MR.1995,U5MR.1996,U5MR.1997,U5MR.1998,U5MR.1999,U5MR.2000,U5MR.2001,U5MR.2002,U5MR.2003,U5MR.2004,U5MR.2005,U5MR.2006,U5MR.2007,U5MR.2008,U5MR.2009,U5MR.2010,U5MR.2011,U5MR.2012,U5MR.2013,U5MR.2014,U5MR.2015
Afghanistan,181,174.2,167.8,162,156.8,152.3,148.6,145.5,142.6,139.9,137,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1
Angola,226,225.9,226,225.8,225.5,224.8,224,222.6,220.8,218.9,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9
Azerbaijan,94.7,95,95.4,95.7,95.5,94.3,92.1,88.6,84.2,79.3,74,68.8,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7
Bangladesh,143.7,137.7,131.7,125.8,119.9,114.2,108.6,103.2,97.9,92.8,88,83.5,79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6
Benin,179.5,175,170.4,166.2,162.4,159.1,156.2,153.6,150.9,147.9,144.7,141.1,137.1,133.1,129.2,125.5,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5
Bolivia,124.4,119.7,115.2,110.7,106.2,101.8,97.5,93.1,88.7,84.4,80.2,76.2,72.2,68.5,64.8,61.4,58.1,54.9,52,49.3,47,44.9,43.1,41.3,39.8,38.4
Botswana,54.2,56.4,59.1,62.4,66.1,69.9,73.5,76.5,79,82,82.9,81.6,79.8,78.1,75.8,69,63.4,62.6,61.7,57.3,53.5,51.8,49.5,46.6,44.8,43.6
Brazil,60.8,58.2,55.4,52.5,49.4,46.3,43.2,40.2,37.2,34.5,32,29.6,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4
Burkina Faso,202.2,201.8,202.1,202,201.1,199.4,197,194,191.3,188.5,185.7,182.4,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6
Burundi,171.8,172.9,173.5,173.5,172.5,170.5,167.7,164.4,160.5,156.4,152.2,147.8,143.2,138.3,133,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7
Cambodia,117.3,117.4,117.8,118.6,120,121.5,122.6,122.5,120.4,115.7,108.3,98.7,88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7
Cameroon,138,140,142.8,146,149,151.8,154,155.3,155.3,153.8,150.4,145.7,140.2,134.7,129.6,125.1,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
Central African Republic,176.5,176.2,176,176.1,176.4,176.7,177,176.9,176.5,175.7,174.8,173.5,171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1
Chad,214.6,212,209.4,207,204.8,202.7,200.6,198.3,195.8,193,190.2,187.3,184.6,181.9,179.4,177,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7
China,53.8,53.3,52.4,51,49.3,47.5,45.6,43.6,41.5,39.3,36.9,34.3,31.6,28.9,26.3,24,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7
Comoros,125.1,121.2,117.2,113.6,110.5,107.8,105.6,104,102.7,101.8,101.1,100.8,100.8,100.4,99.4,97.8,95.7,93.5,91.2,88.5,86,83.3,80.9,78.3,75.9,73.5
Congo,93.6,95.2,97.4,100.2,103.8,107.7,111.9,116,119.3,121.4,121.6,119.7,115.6,109.8,102.9,95.3,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45
Congo DR,186.5,184.3,182.3,180.3,178.3,176.4,174.1,171.5,168.4,164.9,161,156.8,152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3
Cote d Ivoire,152.6,152.7,152.7,152.8,152.9,152.7,152.2,151.3,149.8,147.9,145.6,142.8,139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6
Djibouti,119.4,117,115,113.2,111.5,110.2,108.5,106.8,104.9,102.9,100.8,98.4,96,93.5,91,88.5,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3
Egypt,85.9,81.7,77.5,73.3,68.9,64.6,60.4,56.5,52.8,49.5,46.5,43.8,41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24
Equatorial Guinea,189.5,185.8,182,178.3,174.6,171.2,167.6,163.9,160.1,156.1,152.1,147.9,143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1
Eritrea,151.4,145,138.2,131.2,124.1,117.3,110.8,104.8,99.2,94,89.1,84.6,80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5
Ethiopia,204.6,200.2,195,188.9,182,175,168.3,162,156.2,150.8,145.1,139,132.2,124.8,117,109.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2
Gabon,92.9,92,91.3,90.6,89.8,89.1,88.5,87.9,87.2,86.3,85.3,84,82.5,80.8,78.8,76.7,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8
Gambia The,170.2,164.2,158.5,152.9,147.5,142.4,137.4,132.5,127.9,123.2,118.8,114.5,110.2,106,101.9,97.9,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9
Ghana,127.4,123.1,119.7,117.1,115.1,113.4,111.6,109.5,106.9,104,100.7,97.3,94.2,91.3,88.7,86.5,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64,61.6
Guatemala,80.9,77,73.3,69.7,66.4,63.3,60.4,57.7,55.1,52.8,50.6,48.6,46.6,44.8,43.1,41.4,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1
Guinea,238.2,232.4,226.2,219.7,212.9,205.9,199,192,184.8,177.5,170.2,162.9,155.8,149,142.7,136.7,131.2,125.9,121,116.3,111.9,107.7,104,100.4,97,93.7
Guinea-Bissau,229.3,224.9,220.3,215.5,210.4,205.5,200.1,194.6,188.9,183.3,177.5,171.5,165.3,159,152.6,146.2,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5
Haiti,145.8,141.7,137.6,133.3,129.1,124.9,120.7,116.5,112.4,108.5,104.8,101.3,98.1,95.1,92.4,90,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69
India,125.8,122.2,118.8,115.4,112.1,108.7,105.3,101.9,98.3,94.8,91.2,87.7,84.3,81,77.7,74.6,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7
Indonesia,84.7,80.9,77.1,73.6,70.1,66.7,63.6,60.5,57.6,54.9,52.3,49.8,47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2
Iraq,54.1,53,51.9,51,50,49.1,48.2,47.4,46.5,45.6,44.7,43.8,43,42.3,41.5,40.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32
Kenya,102.3,105.2,108.2,111.1,113.4,114.8,115.4,114.9,113.4,111,107.9,104.1,99.9,95.4,90.6,85.5,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4
Korea DPR,43.4,48.6,54.8,61.3,67.7,72.8,75.7,75.7,72.9,67.4,60,52,44.6,38.7,34.7,32.7,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9
Kyrgyzstan,65,64.7,64.5,64.1,63,61.3,58.9,56.3,53.7,51.1,48.7,46.4,44.4,42.5,40.8,39.3,37.9,36.3,34.4,32.3,30,27.8,25.7,24,22.6,21.3
Lao PDR,162.4,158.2,153.8,149.3,144.7,140.1,135.5,130.9,126.4,122,117.7,113.4,109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7
Lesotho,88.1,87.9,88.7,90.8,94.3,98.9,103.7,107.9,111.4,114.3,116.8,118.6,120.4,122,123,123.4,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92,90.2
Liberia,255,256.7,255.4,251.6,245.5,237.4,227.7,217.1,205.8,193.9,181.8,169.7,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
Madagascar,160.7,155.8,151.3,147.1,142.9,138.4,133.4,127.7,121.7,115.5,109.2,103.1,97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6
Malawi,242.4,235,226.8,219,212.6,207.5,203,198.7,193.1,185,174.4,161.7,148,135.2,124.6,116.2,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64
Mali,254.4,250,246.6,243.9,242,240,237.9,235.3,231.7,226.4,219.6,211.2,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7
Mauritania,118.1,116.2,114.9,114.3,113.9,113.8,113.9,113.9,113.9,113.6,113.5,113.1,112.9,112.4,111.4,109.8,107.9,105.5,103,100.4,97.8,95.4,92.7,90.2,87.5,84.7
Mexico,46.6,44.1,41.7,39.4,37.2,35,33,31,29.1,27.3,25.6,24.1,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5,13.8,13.2
Morocco,80.1,76.5,73,69.7,66.4,63.3,60.3,57.5,54.8,52.3,50,47.9,45.8,43.9,42.1,40.4,38.8,37.3,35.8,34.5,33.1,31.9,30.7,29.7,28.6,27.6
Mozambique,239.7,236.4,232.4,227.7,222,215.2,207.4,198.8,189.5,180.1,171.1,162.5,154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5
Myanmar,109.9,107,104.1,101.1,98.2,95.4,92.7,90,87.4,84.8,82.3,79.9,77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50
Nepal,140.7,133.6,126.7,120,113.7,107.7,101.8,96.3,90.8,85.6,80.6,75.9,71.5,67.4,63.5,60,56.6,53.6,50.7,48,45.4,43.1,40.9,39,37.4,35.8
Niger,328.2,321.9,313.7,303.8,292.2,279.5,267.1,255.9,245.8,236.4,227.3,217.6,207,195.7,184.1,172.7,161.8,151.3,141.3,132.1,123.6,116.1,109.6,104.1,99.6,95.5
Nigeria,212.5,212.2,211.7,211,209.7,207.8,205.1,201.4,197,192,186.8,181.3,175.6,169.9,164.1,158.1,152.2,146.4,140.9,135.5,130.3,125.5,120.9,116.6,112.5,108.8
Pakistan,138.6,136,133.5,131,128.3,125.7,123,120.3,117.6,114.9,112.3,109.8,107.5,105.3,103.2,101.2,99.3,97.4,95.5,93.7,91.8,89.9,87.8,85.6,83.3,81.1
Papua New Guinea,89.4,88,86.6,85.3,84.1,83,82,81,80.2,79.3,78.5,77.7,77,76.1,75.2,74.2,72.9,71.5,69.7,67.9,66.1,64.3,62.5,60.9,59.1,57.3
Peru,79.7,75.4,71,66.5,62,57.5,53.2,49.1,45.3,41.8,38.6,35.8,33.3,31.1,29.1,27.4,25.9,24.5,23.2,22.1,21,20,19.1,18.3,17.5,16.9
Philippines,58.2,54.9,52.1,49.5,47.4,45.6,44,42.7,41.6,40.6,39.7,38.9,38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.6,31.9,31.2,30.4,29.6,28.8,28
Rwanda,151.8,157.3,165.9,185.4,299.6,268.3,203.3,223,234,200.6,183.8,170.2,154.7,139.4,124.4,110.7,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7
Sao Tome & Principe,110.7,111.2,111.1,110.2,108.7,106.5,103.7,100.5,97,93.2,89.3,85.4,81.5,77.6,73.7,70.1,66.7,63.6,61,58.5,56.4,54.4,52.4,50.8,49,47.3
Senegal,140.4,138.7,138.5,139.3,140.6,142.1,143.2,143.4,142.4,139.7,134.9,128.4,120.7,112.5,104.2,96.2,88.8,82,75.8,70.1,64.8,60,55.9,52.5,49.7,47.2
Sierra Leone,264.3,263.4,262.6,261.5,259.9,257.5,254.4,250.5,246,241.1,235.8,229.9,223.9,217.4,210.8,203.7,196.2,188,179.1,169.9,160.2,150.6,141.6,133.4,126.4,120.4
Solomon Islands,39.7,38.9,37.9,37,36.2,35.4,34.8,34.3,33.9,33.5,33.1,32.9,32.8,32.9,33.1,33.2,33.4,33.3,33.1,32.6,32.1,31.4,30.7,29.9,28.9,28.1
Somalia,180.2,177.2,175.3,174.5,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8
South Africa,59.9,58.8,58.4,58.9,60.1,62.1,64.6,67.4,70.2,72.8,75.3,77.1,78.1,78.1,76.8,75.2,73.1,71.3,68.4,63.5,53.8,49.8,47.7,43.4,41.4,40.5
South Sudan,253.2,248.1,242.5,236.6,230.3,223.5,216.1,208.5,200.3,191.4,182.3,173,163.8,155.2,147,139.3,132.1,125.7,120,115.2,110.9,106.7,102.8,99.2,95.6,92.6
Sudan,127.5,125.7,123.9,122.1,120.2,118.2,116.1,113.9,111.4,108.8,105.9,103.1,100.2,97.3,94.5,91.9,89.3,87,84.7,82.4,80.2,78.2,76.3,74.2,72.2,70.1
Swaziland,74.7,75.8,78.8,83.7,89.9,96.9,104.3,111.3,117.7,123.3,128.3,131.6,133.1,133.7,132.7,130.2,122.7,117.2,113.8,104.2,88.4,79.1,72.6,67.6,62.6,60.7
Tajikistan,108.4,111.2,115.7,119.9,121.4,119.8,116.2,111.3,105.6,99.4,93,86.6,80.4,74.6,69.5,65.2,61.5,58.6,56.2,54.3,52.6,50.9,49.3,47.8,46.3,44.8
Tanzania,165.2,163.9,162.6,161.5,159.9,157.6,154.3,149.9,144.5,137.9,130.6,122.6,114.7,106.9,99.4,92.4,85.8,79.5,73.7,68.6,63.4,58.9,55.7,53.3,50.5,48.7
Togo,146.2,144.1,142.1,140,137.7,135.4,132.7,129.9,127,123.9,120.8,117.6,114.4,111.2,108.1,105.1,102.1,99.2,96.4,93.6,90.9,88.3,85.8,83.3,80.8,78.4
Turkmenistan,90.5,89.7,89.6,89.7,89.6,89.4,88.7,87.5,85.8,83.8,81.6,79.2,76.9,74.7,72.4,70.1,68,66,63.9,61.9,60.1,58.2,56.5,54.7,53.1,51.4
Uganda,187.1,183.7,179.6,175.6,172.2,169.5,166.9,163.9,159.9,154.8,148.4,141,132.8,124.2,115.6,107.4,99.7,92.5,85.9,80.1,75.2,69.8,64.1,60.3,56.9,54.6
Uzbekistan,71.5,71.1,71,70.6,70.2,69.5,68.7,67.7,66.5,65,63.2,61.4,59.6,57.8,56,54.2,52.5,50.8,49.2,47.6,46.1,44.6,43.2,41.8,40.4,39.1
Vietnam,50.8,48.8,46.8,44.8,43,41.2,39.5,38,36.5,35.1,33.8,32.5,31.4,30.4,29.4,28.5,27.7,26.9,26.2,25.5,24.8,24.2,23.5,22.9,22.3,21.7
Yemen,126.3,122.8,119.6,116.8,114.4,112.2,109.8,107.2,103.8,99.9,95.4,90.7,85.9,81.3,76.8,72.6,68.5,64.7,61,57.6,54.2,51.1,48.4,46,43.8,41.9
Zambia,190.6,190.3,189.4,187.5,184.5,181.1,178.1,175.7,172.9,169.1,163.1,154.2,142.9,131.2,120.6,111.7,104.5,98,93.1,87.4,82.1,78.6,74.4,70.2,66.6,64
Zimbabwe,75.8,78.8,82.7,87,91.2,95.5,99.2,102,103.9,105.2,105.8,105.6,105.1,104,103,101.9,100,98,95.4,92.9,89.5,85.6,78.5,74.5,72.3,70.7
